Livre I;Chapitre 1;Exemples que j’ai reçus de mon grand-père Vérus: avoir un bon caractère et de l'auto-discipline.;FR
Livre I;Chapitre 2;De mon père, d'après mes souvenirs et sa réputation: la modestie et la virilité.;FR
Livre I;Chapitre 3;"De ma mère: la piété et la générosité ; l’habitude de s’abstenir non pas seulement de faire le mal, et même de le penseer ; et aussi, sa simplicité de vie, si loin de celle des riches.";FR
Livre I;Chapitre 4;De mon arrière grand-père maternel, je suis redevable de n’avoir point fréquenté les écoles publiques, d’avoir profité des leçons d’excellents enseignants privés, et d’avoir appris que, pour l’éducation, il ne faut ménager aucune dépense ;FR
Livre I;Chapitre 5;"De mon premier instituteur, de ne pas choisir de camps lors des courses de chars et combats de gladiateurs; il m’a montré aussi à endurer la fatigue, à restreindre mes besoins, à faire beaucoup par moi-même, à m'occuper de mes affaires, et à éviter d'écouter les dénonciations ";FR
Livre I;Chapitre 6;"À Diognète[12], j’ai dû de ne pas m’appliquer à des riens ; de ne jamais croire à tout ce que les sorciers et les charlatans[13] débitent de leurs incantations et des conjurations de démons, ni à tant d’autres inventions aussi fausses. Je lui ai dû encore de ne pas me plaire à élever des cailles de combat[14] et de ne point me passionner pour ces puérilités ; de savoir supporter la franchise de ceux qui me parlent ; d’avoir contracté le goût de la philosophie ; d’avoir suivi d’abord les leçons de Bacchius, puis ensuite celles de Tandasis et de Marcien; d’avoir composé des dialogues dès mon enfance, et de m’être fait une joie du grabat, du simple cuir[18], et de tous les ustensiles dont se compose la discipline des philosophes grecs.";FR
Livre I;Chapitre 7;"À Rusticus[19], j’ai dû de m’apercevoir que j’avais à redresser et à surveiller mon humeur ; de ne point me laisser aller aux engouements de la sophistique ; de ne point écrire sur les sciences spéculatives ; de ne pas déclamer de petits sermons vaniteux ; de ne point chercher à frapper les imaginations en m’affichant pour un homme plein d’activité ou de bienfaisance ; de me défendre de toute rhétorique, de toute poésie et de toute affectation dans le style. Je lui dois encore de n’avoir pas la sottise de me promener en robe traînante à la maison, et de me défendre de ces molles habitudes ; d’écrire sans aucune prétention[20] ma correspondance, dans le genre de la lettre qu’il écrivit lui- même de Sinuesse[21] à ma mère. Il m’a montré aussi à être toujours prêt à rappeler ou à accueillir ceux qui m’avaient chagriné ou négligé, dès le moment qu’ils étaient eux- mêmes disposés à revenir ; à toujours apporter grande attention à mes lectures, et à ne pas me contenter de comprendre à demi ce que je lisais ; à ne pas acquiescer trop vite aux propositions qui m’étaient faites. Enfin, je lui dois d’avoir connu les Commentaires d’Épictète[22], qu’il me prêta de sa propre bibliothèque. ";FR
Livre I;Chapitre 8;"D’Apollonius[23], j’ai appris à avoir l’esprit libre et à être ferme sans hésitation ; à ne regarder jamais qu’à la raison, sans en dévier un seul instant ; à conserver toujours une parfaite égalité d’âme contre les douleurs les plus vives, la perte d’un enfant par exemple ou les longues maladies. J’ai vu clairement en lui, par un exemple vivant, qu’une même personne peut être tout ensemble pleine de résolution et de facilité ; et qu’on peut n’être point rude en enseignant ; il m’a donné le spectacle éclatant d’un homme qui regarde comme la moindre de ses qualités de savoir transmettre la science à autrui, avec une rare expérience et tout en courant. C’est lui encore qui m’a appris l’art de recevoir de la main de mes amis de prétendus services, sans en être diminué, et sans y paraître insensible quand je ne croyais pas devoir les accepter.";FR
Livre I;Chapitre 9;"De Sextus[24], j’ai appris ce que c’est que la bienveillance, une famille paternellement gouvernée et le vrai sens du précepte Vivre selon la nature ; la gravité sans prétention ; la sollicitude qui devine les besoins de nos amis ; la patience à supporter les fâcheux et leurs propos irréfléchis ; la faculté de s’entendre si bien avec tout le monde que son simple commerce semblait plus agréable que ne peut l’être aucune flatterie, et que ceux qui l’entretenaient n’avaient jamais plus de respect pour lui que dans ces rencontres ; l’habileté à saisir, à trouver, chemin faisant, et à classer les préceptes nécessaires à la pratique de la vie ; le soin de ne jamais montrer d’emportement ni aucune autre passion excessive ; le talent d’être à la fois le plus impassible et le plus affectueux des hommes ; le plaisir à dire du bien des gens mais sans bruit ; enfin une instruction immense sans ostentation.";FR
Livre I;Chapitre 10;"Par l’exemple d’Alexandre le grammairien[25], j’ai appris à ne jamais choquer les gens, à ne les point heurter par une brusquerie blessante pour un barbarisme qu’ils auraient commis, pour une tournure fautive ou une prononciation vicieuse qui leur serait échappée ; mais à m’arranger adroitement dans la conversation pour que le mot qui aurait dû être choisi d’abord reparût, par manière de réponse ou de confirmation, en donnant mon avis sur la chose même sans m’arrêter du tout à l’expression malheureuse, ou en prenant soigneusement tel autre détour pour dissimuler l’allusion. ";FR
